source,target
1048,190269
491,94350
496,94694
746,124670
1003,184110
1242,220313
813,154939
1006,184381
654,125081
1149,207290
1039,49832
823,136379
1108,198621
5,526
778,149468
822,156156
455,91660
332,67875
460,92004
301,62146
393,84366
588,113881
1130,202352
719,140193
224,47404
746,144268
710,138195
128,27694
1236,219717
577,107306
1,3
680,133068
962,178043
1006,184731
185,38027
639,120235
154,32298
384,77083
577,110689
891,166499
1130,202702
706,137672
180,36902
861,161372
246,51485
437,89926
635,119712
150,31775
753,140901
370,75872
114,23450
702,137149
1075,195074
1044,189345
1208,217295
1213,217639
891,166849
855,160776
626,118845
141,30908
911,170507
180,37252
37,7927
73,7584
814,135111
11,290
113,23198
917,171453
391,83515
222,46553
1072,38587
744,143417
29,115
1075,195424
267,56095
325,65899
289,57574
673,131873
913,170930
85,17393
385,80667
489,93068
391,83865
214,42124
1239,9838
647,123455
350,71032
708,137694
15,2287
764,147425
1037,117224
209,40999
248,51507
1046,179568
664,130225
739,142642
693,135881
951,175544
377,76238
1149,205330
341,70165
822,154196
760,146902
874,163749
367,74769
420,471
106,22003
1149,208713
231,26613
15,2637
423,88664
752,145506
1072,193971
664,130575
323,65048
1018,60177
224,532
133,29461
31,137
517,97344
577,108729
655,126325
1125,200398
619,118000
875,164006
578,111583
1104,193105
35,7426
573,104823
354,63580
521,98217
159,34065
384,78506
256,54377
118,25396
848,159150
645,122604
577,105696
896,168266
996,47771
1028,187633
56,11686
1055,191708
354,73379
508,96477
317,51620
808,153335
323,65398
292,59669
48,10290
577,109079
278,55075
732,141447
1024,187110
88,19488
1156,212112
864,160033
118,25746
753,145707
1112,199008
141,3284
1055,192058
12,1184
108,8062
73,15423
42,9694
687,134507
784,150655
207,40498
1240,220104
662,129724
1193,191241
232,48664
749,145184
942,174626
559,103181
69,14900
236,49537
836,147812
222,44943
610,99736
201,39902
546,101441
293,59870
672,123245
938,174103
1261,221331
748,144932
1047,115952
290,29771
214,43547
985,115074
811,152828
350,72455
387,81382
319,64474
116,23764
997,63406
969,179051
218,44420
385,79057
1149,142243
86,18637
253,53274
598,114813
157,33564
275,50589
1149,206753
1246,220649
214,43897
336,45580
40,8843
499,95559
659,128271
719,139656
1149,210136
826,156492
464,92340
336,68211
565,103726
20,4404
305,62482
491,94163
128,7909
813,154752
1052,190955
328,66815
1149,207103
732,23299
577,110152
778,149281
1130,202165
378,47684
332,67688
776,149208
301,61959
829,74910
919,172117
1078,195559
719,140006
224,47217
746,144081
1134,203038
997,183327
577,107119
784,3460
61,13453
680,132881
1003,184273
446,48727
813,155102
957,177512
185,37840
967,178200
154,32111
1006,184544
1136,49928
999,63428
577,110502
891,166312
1130,202515
706,137485
993,182804
1217,217975
180,36715
246,51298
437,89739
710,138358
630,119181
145,31244
370,75685
887,165789
446,90956
1075,194887
890,166060
1202,30172
171,35848
466,92362
268,56160
891,166662
242,50775
104,21794
855,160589
1079,195760
141,30721
201,37942
180,37065
37,7740
407,12935
426,88799
108,22667
391,83328
222,46366
811,144452
264,55637
238,50252
1075,195237
1039,189164
325,65712
33,7217
673,131686
386,79951
811,154251
1026,187424
385,80480
774,148707
391,83678
258,55041
214,41937
381,76574
418,87753
60,12423
350,70845
655,22432
806,153126
672,131434
730,141238
15,2100
177,36393
764,147238
90,8101
673,132036
739,142455
693,135694
1149,205143
85,17556
694,136296
341,57146
668,130911
955,176230
973,1022
1149,208526
920,170759
394,82821
15,2450
337,69455
209,41162
525,98553
940,174417
849,159215
93,20076
234,49328
164,35003
169,35347
512,96813
577,108542
97,20949
1004,55396
619,117813
875,163819
1125,200211
286,59317
393,82569
839,157746
904,169475
972,179967
357,74244
159,33878
384,78319
256,54190
118,25209
733,124516
411,86558
645,122417
577,105509
851,57783
129,28751
56,11499
163,34751
25,5770
216,44211
354,73192
803,152804
1062,91214
282,58794
613,117217
830,156879
1124,199959
110,10981
1125,200561
1142,203948
88,19301
255,53938
1188,129233
957,172869
114,5438
661,129716
118,25559
987,181379
816,155668
1055,191871
1009,185110
1110,198748
1017,29563
665,130589
42,9507
687,134320
1138,203425
139,29819
319,5843
784,150468
110,11331
268,54550
652,124685
749,144997
978,180512
1260,221323
559,102994
871,162895
222,44756
201,39715
546,101254
1224,218633
228,47954
836,157424
315,63414
933,173572
748,144745
938,173916
214,43360
550,102127
555,102471
350,72268
801,141373
739,140495
387,81195
249,52214
319,64287
867,162372
1190,216016
385,78870
86,18450
306,62547
924,172705
596,114553
1149,206566
795,151357
863,161849
116,7712
274,57347
1051,190947
1251,220806
214,43710
653,124886
40,8656
499,95372
659,128084
719,139469
1149,209949
116,23927
920,172182
266,55951
1077,195551
655,124178
1082,195895
398,85117
403,85461
813,154565
128,23937
577,109965
1130,201978
332,67501
296,61428
301,61772
383,76888
224,47030
746,143894
394,84594
123,26976
132,11978
650,124184
577,106932
491,94326
61,13266
322,59616
711,138423
1003,184086
1099,197380
813,154915
56,90
957,177325
634,119517
149,31580
662,101563
379,76365
577,110315
278,56311
455,91636
696,136610
988,182273
542,100680
437,89552
307,29887
702,120560
657,127233
722,134798
441,90425
1075,194700
1225,142966
528,99469
361,52000
891,166475
855,160402
104,21607
550,48489
946,48489
141,30534
180,36878
361,74631
951,77880
413,15946
437,89902
912,170735
391,83141
222,46179
95,20740
262,55377
1039,188977
646,123260
902,169266
90,7564
673,131499
748,139752
104,21957
1026,187237
911,170483
385,80293
774,148520
391,83491
801,152595
214,41750
1119,199479
413,87222
60,12236
222,46529
280,58585
345,70314
1149,207989
1159,212841
730,141051
15,1913
297,845
1017,186370
726,137145
693,135507
985,181170
1149,204956
85,17369
41,101
332,30078
694,136109
853,159551
726,140528
665,682
1186,125991
132,29266
1104,185965
654,126130
77,15973
1149,208339
15,2263
230,48268
297,1195
976,180303
337,69268
209,40975
520,98022
878,164684
67,14504
693,135857
946,175176
72,12596
681,133588
756,146005
577,108355
807,153140
911,6723
252,53130
30,6708
931,173363
357,74057
410,83517
384,78132
256,54003
118,25022
423,88640
411,86371
577,105322
645,122230
1055,191334
93,20239
437,20049
830,156692
900,168765
251,52878
987,148762
922,172496
927,172840
1049,178687
155,33168
88,19114
1239,219909
661,129529
278,58084
816,155481
1055,191684
201,39178
68,14705
369,51786
201,32762
687,134133
757,146206
309,63032
396,84908
356,56462
401,85252
227,47946
660,129277
1101,197694
288,51605
330,67292
554,102463
559,102807
753,145683
780,149758
968,178856
201,39528
928,173041
1092,196827
748,144558
156,33369
214,43173
652,124848
350,72081
319,64100
443,90739
15,3336
86,18263
1083,195960
1088,196304
1047,189887
596,114366
19,4209
739,137275
1149,206379
495,94312
274,57160
730,126609
214,43523
439,90216
694,124700
40,8469
499,95185
947,1037
659,127897
372,76162
719,139282
116,23740
659,121481
1149,209762
15,3686
655,123991
918,171922
1082,195708
336,55005
1205,217241
813,154378
495,94662
1166,214280
128,23750
577,109778
1130,201791
383,47654
257,54897
583,112976
296,61241
839,117103
40,8819
1032,188424
383,76701
1201,216718
224,46843
449,91284
992,182609
650,123997
577,106745
61,13079
675,132163
1160,213684
957,177138
127,27662
767,147967
348,45566
1001,183826
58,12027
577,110128
774,5781
742,143184
886,165594
1157,212632
988,182086
383,77051
477,92928
475,92855
241,50580
1047,23094
657,127046
957,177488
851,159342
1234,217955
885,165342
149,31743
528,99282
237,50057
99,21076
855,160215
324,65517
141,30347
180,36691
361,74444
385,79756
474,951
656,126794
876,164475
222,45992
95,20553
182,550
612,117073
805,152931
902,169079
391,79921
355,73848
908,170025
387,82431
1067,193467
421,88431
426,88775
385,80106
1153,211708
801,152408
214,41563
413,87035
280,58398
222,46342
898,168556
1149,207802
15,1726
1017,186183
434,84879
693,135320
797,151885
980,180639
1026,187400
1149,204769
80,16838
694,135922
726,140341
1114,199298
132,29079
654,125943
72,15442
1149,208152
46,10057
971,179772
204,40444
520,97835
969,19373
944,174916
128,28556
354,46804
353,72997
577,108168
802,148445
252,52943
309,1018
899,168757
984,63415
30,6521
931,173176
384,77945
118,24835
645,122043
577,105135
22,5125
317,63891
940,174393
93,20052
251,52691
1086,196095
512,96789
155,32981
660,128740
600,115103
1266,221545
411,86534
1055,191497
1178,215282
865,162326
1264,221472
1203,217032
1013,185609
660,129090
1140,49941
713,138550
1101,197507
1142,203924
1229,219384
549,101932
559,102620
64,13995
386,81000
816,155644
2,285
1009,185086
968,178669
392,84198
201,39341
541,100536
709,138027
944,72633
214,42986
652,124661
350,71894
504,94992
63,13743
862,161654
115,7517
15,3149
187,38130
86,18076
1149,206192
372,53344
892,167131
214,43336
183,37607
231,4844
1140,189110
1175,214960
659,127710
372,75975
719,139095
1149,209575
763,20920
1038,188833
15,3499
918,171735
613,59822
808,153847
596,114529
1047,190050
910,170339
1069,193781
490,94131
368,75452
577,109591
674,132155
968,8493
1002,179727
257,54710
578,112445
296,61054
460,84840
40,8632
914,171212
1029,187966
1130,201604
1201,216531
266,55927
118,26258
992,182422
650,123810
577,106558
61,12892
128,7698
1160,213497
957,176951
1001,183639
764,7158
577,109941
82,17152
437,79379
594,113328
710,127998
1157,212445
988,181899
952,175826
383,76864
759,120720
361,48243
78,16629
780,131396
290,1236
634,119493
144,31212
149,31556
369,75653
343,70268
560,103514
237,49870
855,160028
810,120658
141,30160
170,35816
385,79569
141,17328
68,76
1172,213857
432,89184
294,60203
842,158288
876,164288
430,89111
840,158215
657,127209
722,134774
222,45805
223,364
320,64807
1196,55810
610,116813
28,6312
355,73661
514,97103
387,82244
254,53607
421,88244
1036,187551
1065,193207
51,10645
570,104582
385,79919
663,52314
1150,211250
1153,211521
214,41376
413,86848
367,31792
1149,207615
904,65208
1159,212467
1116,49815
297,471
566,104059
1056,185924
50,10393
690,134862
1149,210998
787,151010
791,135668
1149,204582
276,57688
208,40780
336,69073
6,672
280,58561
818,155958
1011,185400
654,125756
72,15255
1149,207965
833,121557
689,134610
971,179585
204,40257
520,97648
1076,88481
204,33841
231,48496
1257,221269
128,28369
0,76
1160,192289
577,107981
61,7899
132,29242
1090,196431
511,96781
1218,218308
1256,48640
384,77758
543,101200
118,24648
225,47900
87,18919
230,48244
645,121856
22,4938
317,63704
577,111364
158,33846
952,148202
286,49307
277,57889
251,52504
502,95914
155,32794
215,44179
507,96258
252,53106
698,764
600,114916
308,62837
931,173339
272,56764
492,94445
1037,27025
406,86003
633,9414
717,138886
1055,191310
1243,220408
329,67097
751,775
11,965
197,39062
304,62314
335,68043
591,114049
589,113976
922,172472
1230,218668
242,48604
488,93922
660,128903
1137,203393
60,103
126,27518
959,93507
1229,219197
95,15373
549,101745
64,13808
1217,9815
386,80813
816,155457
775,149040
968,178482
201,39154
585,113453
474,92711
479,93055
484,93399
641,120932
996,183159
18,4014
214,42799
350,71707
314,63382
959,177615
15,2962
86,17889
698,136900
1149,206005
1214,217734
741,90961
245,51130
269,56442
214,43149
336,44832
659,127523
410,458
526,98886
1149,209388
889,165892
15,3312
618,108274
662,679
752,139765
530,99759
619,115292
808,153660
596,114342
1047,189863
649,123802
802,120634
522,98363
577,109404
1130,201417
257,54523
327,66596
296,60867
578,112258
662,26693
741,142989
118,26071
283,59127
577,106371
61,12705
1160,213310
808,154010
957,176764
577,109754
1211,1244
988,181712
339,69989
1032,188400
378,76333
383,76677
273,29742
479,571
758,146726
763,147070
992,182585
996,48796
872,163564
179,36496
309,47866
1251,120995
78,16442
233,48810
1070,193795
943,174772
338,69737
38,47
886,165570
855,159841
170,35629
385,79382
294,60016
907,169830
1066,193272
840,158028
939,174249
222,45618
233,49160
90,19835
390,83109
897,168361
166,35106
28,6125
219,44566
320,58204
610,116626
99,21052
1062,192749
387,82057
254,53420
324,65493
288,59420
416,87713
421,88057
872,163578
20,4729
385,79732
877,163922
796,151690
1020,186861
1025,187205
55,11331
24,5602
896,53826
1149,207428
500,95705
1154,211936
1113,199103
1118,199447
117,24260
822,156294
1056,192153
561,103528
274,51793
566,103872
730,121242
45,9862
1061,192497
1149,210811
792,151167
1149,204395
276,57501
336,68886
602,115580
1104,198236
1006,184869
654,125569
1149,207778
41,9339
577,110827
1130,202840
1135,203184
1140,203528
520,97461
62,13599
229,48236
185,35132
975,180271
1103,197984
128,28182
577,107794
742,140850
870,162727
61,7712
680,133556
132,29055
1218,218121
384,77571
543,101013
118,24461
225,47713
87,18732
577,111177
833,157183
838,157527
860,161258
891,166987
158,33659
555,1050
935,173675
641,824
110,23065
895,167860
251,52317
113,23336
864,162131
635,120200
917,171591
155,32607
996,37387
829,156660
462,92164
309,36457
1090,196594
754,124995
262,1178
922,168902
406,85816
717,138699
1141,203729
1146,204073
109,22813
913,171068
1053,191050
1238,219877
365,60151
197,38875
586,113518
391,84003
488,93735
660,128716
708,137832
126,27331
783,150249
400,85220
872,161618
1000,183495
325,66387
651,124466
1069,57271
1229,219010
38,8236
678,132705
775,148853
1004,184368
739,142780
610,98801
814,155197
196,38623
585,113266
968,178295
306,322
116,13030
745,143726
699,136965
122,26808
641,120745
996,182972
125,27079
214,42612
613,1004
350,71520
1164,214047
633,119349
143,31068
15,2775
148,31412
182,37412
581,112743
347,70468
86,17702
248,51995
918,158179
695,136442
670,33968
121,26556
536,100168
541,100512
698,136713
1149,205818
469,92530
619,118138
429,88967
434,89311
367,75257
526,98699
106,22491
654,78697
1074,194532
1149,209201
15,3125
530,99572
870,160767
103,21439
265,55732
808,153473
482,88978
649,123615
292,59807
1064,193063
577,109217
507,6970
1130,201230
578,112071
296,60680
1073,194280
378,62964
261,55209
118,25884
1033,188465
645,123092
283,58940
577,106184
614,117363
414,87504
61,12518
1038,188809
670,131258
1160,213123
808,153823
957,176577
1126,200707
731,141333
674,132131
662,129862
737,142279
1029,187942
1044,120330
988,181525
564,103663
666,130735
236,49675
118,26234
758,146539
864,160521
727,140810
135,29621
140,29965
953,176054
956,176325
992,182398
1025,47849
753,126947
78,16255
984,181002
212,41330
850,159310
855,159654
952,175802
1027,1128
73,12878
1015,185950
474,48685
385,79195
766,52469
74,15732
973,180062
222,45431
769,123666
233,48973
390,82922
875,4117
607,116168
412,86653
161,34575
610,116439
130,28846
214,44035
217,44306
94,20521
1062,192562
387,81870
611,117041
416,87526
770,140483
643,121460
831,156974
872,163391
20,4542
385,79545
1020,186674
840,158191
408,86130
55,11144
606,115916
24,5415
1242,220264
1149,207241
1108,198572
822,156107
332,67826
719,140144
1149,210624
1149,204208
336,68699
203,40062
602,115393
1236,219668
1104,198049
1006,184682
654,125382
297,61574
719,137111
41,9152
577,110640
618,106477
1130,202653
781,150040
229,48049
265,47706
644,121661
128,27995
577,107607
497,508
66,14285
870,162540
680,133369
635,100415
838,141125
1213,217590
384,77384
543,100826
577,110990
652,796
891,166800
307,62642
696,124453
180,37203
895,167673
864,161944
656,30716
635,120013
917,171404
595,114198
921,172277
1075,195375
267,56046
1090,196407
1015,171158
273,56992
855,161077
913,170881
498,95017
1025,117165
197,38688
391,83816
258,55179
1204,217073
647,123406
315,1002
686,133914
325,66200
492,94421
678,132518
1168,214383
717,138862
770,148322
739,142593
329,67073
585,113079
377,76189
1031,188256
1036,188600
1188,215789
1193,216133
1195,216206
448,91116
641,120558
214,42425
350,71333
1149,208664
19,78
677,132266
15,2588
769,148070
419,951
248,51808
664,130526
442,90520
726,124988
121,26369
1149,205631
265,484
474,92687
705,756
689,132276
699,137128
1046,189668
619,117951
35,7377
940,158690
367,75070
1149,209014
106,22304
912,1234
884,165174
15,2938
848,159101
527,99114
371,75943
808,153286
817,138288
323,65349
420,87913
542,47717
618,117699
31,6854
896,100674
1037,188801
577,109030
1130,201043
619,118301
1024,187061
578,111884
296,60493
322,55298
388,82713
844,158578
159,34366
384,78807
1156,212063
118,25697
582,112757
645,122905
348,70482
577,105997
802,152690
901,168911
1055,192009
670,131071
1160,212936
808,153636
1018,186465
732,141748
798,152167
559,103132
236,49488
118,26047
283,59103
722,140279
568,104349
201,39853
692,135152
662,130025
845,158779
754,145829
947,175271
131,28911
13,1306
719,788
969,179002
385,79008
253,53225
1054,191231
157,33515
222,45244
940,59790
233,48786
943,174748
1251,220944
214,43848
350,72756
1122,199596
387,81683
872,163204
116,24065
643,121273
565,103677
969,179352
20,4355
385,79358
923,172591
320,61213
840,158004
403,85599
55,10957
893,167464
1140,180173
1149,207054
279,58179
332,67639
694,125375
919,172068
1069,120334
719,139957
1149,210437
14,1507
1134,202989
336,68512
602,115206
20,4705
397,85003
756,131888
1048,190383
496,94808
1076,55490
1230,1246
1003,184224
600,29897
813,155053
823,155741
552,102287
654,125195
1006,184495
41,8965
1039,49946
1202,216864
577,110453
5,640
684,133705
778,149582
1130,202466
257,49156
224,47518
1095,196995
746,144382
710,138309
128,27808
773,148457
577,107420
66,14098
1186,215580
680,133182
446,90907
154,32412
114,3966
384,77197
577,110803
891,166613
1079,195711
998,183449
180,37016
861,161486
1049,190584
108,22618
635,119826
961,177905
150,31889
238,50203
702,137263
1075,195188
1208,217409
273,56805
753,137982
811,154202
855,160890
860,161234
626,118959
631,119303
877,164621
911,170621
37,8041
110,23041
385,80431
774,148658
917,171567
391,83629
258,54992
60,12374
222,46667
744,143531
452,91452
457,91796
462,92140
325,66013
422,88577
1054,1154
673,131987
1163,213852
717,138675
284,46764
739,142406
1031,188069
85,17507
59,12122
955,176181
214,42238
540,100317
350,71146
478,93023
482,1113
1149,208477
239,50404
602,77783
654,77973
708,137808
1188,212569
15,2401
121,9967
337,69406
209,41113
81,16984
248,51621
664,130339
852,159437
951,175658
1149,205444
265,297
102,21244
269,55881
619,117764
1046,189481
357,74195
367,74883
106,22117
1149,208827
143,31044
848,158914
277,307
527,98927
577,105460
1072,194085
378,1113
163,34702
257,50579
93,20377
803,152755
323,65162
613,117168
31,6667
133,29575
655,126439
577,108843
1125,200512
619,118114
875,164120
578,111697
296,60306
909,170120
255,53889
573,104937
318,64037
1068,193562
159,34179
736,142084
384,78620
256,54491
118,25510
987,181330
645,122718
577,105810
1028,187747
322,64910
1055,191822
56,11800
354,73493
508,96591
757,146344
1064,193039
732,141561
1152,211353
978,180463
88,19602
798,151980
902,51606
559,102945
184,36279
568,104162
201,39666
73,15537
692,134965
784,150769
207,40612
748,144696
749,122667
207,34196
1100,47834
1230,219530
662,129838
104,14069
319,64238
3,431
1010,185232
1032,1098
1111,198870
559,103295
69,15014
236,49651
970,179417
135,29597
222,45057
719,74910
51,98
187,35422
863,161800
1251,220757
214,43661
1261,221445
350,72569
387,81496
319,64588
116,23878
872,163017
643,121086
969,179165
218,44534
15,3824
316,63536
826,124176
769,123642
893,167277
1149,206867
72,7741
332,67452
214,44011
301,61723
694,125188
499,95673
1019,38554
659,128385
719,139770
1149,210250
394,84545
271,56596
336,68325
1048,190196
650,124135
491,94277
711,138374
691,781
1003,184037
1099,197331
275,57469
813,154866
328,66929
915,171358
1197,216333
128,24238
577,110266
778,149395
817,155739
455,91587
332,67802
588,113808
301,62073
746,121564
1130,202279
224,47331
746,144195
710,138122
577,107233
680,132995
962,177970
441,90376
185,37954
154,32225
577,110616
891,166426
706,137599
180,36829
79,16775
246,51412
437,89853
635,119639
1183,215472
184,37702
370,75799
1075,195001
1213,217566
268,56274
307,62618
104,21908
855,160703
626,118772
141,30835
426,88913
816,135111
37,7854
385,80244
272,52983
822,21370
391,83442
60,12187
222,46480
744,143344
1159,212792
267,56022
325,65826
673,131800
811,154365
765,147604
999,183463
734,141875
316,55160
780,142220
85,17320
385,80594
96,20862
258,55155
214,42051
647,123382
350,70959
77,15924
1149,208290
15,2214
764,147352
961,1126
1022,187015
337,69219
664,130152
147,31380
693,135808
946,175127
756,145956
